HO,Juneyao Airline
HP,America West
HQ,THOMAS COOK AIRLINES BELGIUM
HR,Hahn Air
HS,Skyways Regional
HT,Royal Airways
HU,Hainan Airlines
HV,Transavia Airlines
HW,North Wright
HX,Hong Kong Airlines
HY,Uzbekistan Airways
HZ,Aurora Airlines
I2,IBERIA EXPRESS
I5,AirAsia
I7,Paramount Airways
I9,Air-Service
IA,Iraqi/Airways
IB,Iberia Airlines
IC,Indian Airlines
ID,BATIK AIR INDONESIA
IE,Solomon Islands Airways
IG,Meridiana
IH,Falcon Air
IJ,Air Liberte
IK,Imair
IM,Intensive Air
IN,Mat Macedonia
IP,Atyrau Airways
IQ,Augsburg Airways
IR,Iran National Airlines
IS,Island Airlines
IT,Tigerair Taiwan
IW,Air Lib
IX,Air India Express
IY,Yemen Airways Corporation
IZ,Arkia Israel Inland Airlines
J0,JETLINK EXPRE
J2,Azerbaijan Airlines
J3,Northwestern Air Lease
J4,Buffalo Air
J5,Alaska Seaplanes
J6,Larrys Flying
J7,Centre-Avia Airlines
J8,Berjaya Air
J9,Jazera Airways
JA,BH Airlines
JB,Helijet International
JC,JAL Express
JD,Japan Air Sys
JE,Mango
JF,Jet Asia Airways
JH,Nordeste-Linhas Aereas Regionais Sa
JI,Midway Airlines
JJ,TAM Linhas Aereas
JK,Spanair
JL,Japan Airlines
JM,Air Jamaica
JN,Excel Airways
JO,JALways
JP,Adria Airways
JQ,Jetstar
JR,Aerocalfornia
JS,Air Koryo
JT,LionAir
JU,Air Serbia
JV,Bearskin Lake
JW,Skippers Aviation
JX,Nice Helicopteres
JY,INTERCARIBBEAN AIRWAYS
JZ,Skyways Ab
K2,Eurolot S.A
K3,Taquan Air Services
K4,Kronflyg
K5,Seaport Airlines
K6,Cambodia Angkor Air
K7,Sakha Avia
K9,Skyward Aviation
KA,Dragonair
KB,Druk Air
KC,Air Astana
KD,KD Avia
KE,Korean Air Lines
KF,Oy Air Botnia
KH,Siem Reap Airways International
KI,Time Air
KJ,British Mediterranean
KK,Atlasjet Airlines
KL,Klm Royal Dutch Airlines
KM,Air Malta
KN,CHINA UNITED AIRLINES
KO,Alaska Central Express
KP,ASKY
KQ,Kenya Airways
